State and other areas2,Total Area,,Land Area1,,Water Area1,,,,,,,,,,"Internal Point -
Latitude Value","Internal Point -
Longitude Value"
New Hampshire,"9,349","24,214","8,953","23,187",397,"1,027",328,849,—,—,—,—,69,178,43.6708595,-71.5811278
New Jersey,"8,723","22,591","7,354","19,047","1,368","3,544",436,"1,128",427,"1,105",—,—,506,"1,311",40.1072744,-74.6652012
New Mexico,"121,590","314,917","121,298","314,161",292,757,292,757,—,—,—,—,—,—,34.4391265,-106.1261511
New York,"54,555","141,297","47,126","122,057","7,429","19,240","1,989","5,151",975,"2,526","3,986","10,324",479,"1,240",42.9133974,-75.5962723
North Carolina,"53,819","139,391","48,618","125,920","5,201","13,471","4,052","10,495",—,—,—,—,"1,149","2,976",35.53971,-79.1308636
North Dakota,"70,698","183,108","69,001","178,711","1,698","4,397","1,698","4,397",—,—,—,—,—,—,47.4569538,-100.4619304
Ohio,"44,826","116,098","40,861","105,829","3,965","10,269",474,"1,227",—,—,"3,491","9,042",—,—,40.4149297,-82.7119975
Oklahoma,"69,899","181,037","68,595","177,660","1,304","3,377","1,304","3,377",—,—,—,—,—,—,35.5894185,-97.4868683
Oregon,"98,379","254,799","95,988","248,608","2,391","6,191","1,068","2,766",72,186,—,—,"1,251","3,240",43.9715225,-120.6226269
Pennsylvania,"46,054","119,280","44,743","115,883","1,312","3,397",563,"1,459",—,—,748,"1,938",—,—,40.9042486,-77.8280624
Rhode Island,"1,545","4,001","1,034","2,678",511,"1,324",182,470,64,165,—,—,266,688,41.5978358,-71.5252895
South Carolina,"32,020","82,933","30,061","77,857","1,960","5,076","1,064","2,755",110,286,—,—,786,"2,036",33.8741769,-80.8542699
South Dakota,"77,116","199,729","75,811","196,350","1,305","3,379","1,305","3,379",—,—,—,—,—,—,44.4467957,-100.2381762
Tennessee,"42,144","109,153","41,235","106,798",909,"2,355",909,"2,355",—,—,—,—,—,—,35.8585639,-86.3493573
Texas,"268,596","695,662","261,232","676,587","7,365","19,075","5,616","14,546",401,"1,040",—,—,"1,347","3,489",31.4347032,-99.2818238
Utah,"84,897","219,882","82,170","212,818","2,727","7,064","2,727","7,064",—,—,—,—,—,—,39.3349735,-111.6563633
Vermont,"9,616","24,906","9,217","23,871",400,"1,035",400,"1,035",—,—,—,—,—,—,44.0605475,-72.673354
Virginia,"42,775","110,787","39,490","102,279","3,285","8,508","1,282","3,320","1,565","4,053",—,—,438,"1,135",37.5222512,-78.6681938
Washington,"71,298","184,661","66,456","172,119","4,842","12,542","1,715","4,441","2,468","6,392",—,—,660,"1,709",47.4162296,-120.5996231
West Virginia,"24,230","62,756","24,038","62,259",192,497,192,497,—,—,—,—,—,—,38.6472854,-80.6183274
Wisconsin,"65,496","169,635","54,158","140,268","11,339","29,367","1,997","5,172",—,—,"9,342","24,195",—,—,44.628484,-89.7119299
Wyoming,"97,813","253,335","97,093","251,470",720,"1,864",720,"1,864",—,—,—,—,—,—,42.9918024,-107.5419255
,,,,,,,,,,,,,,,,
Puerto Rico,"5,325","13,791","3,424","8,868","1,901","4,924",76,198,13,34,—,—,"1,812","4,692",18.217648,-66.4107992
,,,,,,,,,,,,,,,,
Island Areas:5,"3,860","9,998",603,"1,562","3,257","8,436",40,104,22,56,—,—,"3,196","8,277",,
American Samoa,581,"1,505",76,198,505,"1,307",8,21,—,—,—,—,497,"1,286",-14.2638166,-170.6620902
Guam,571,"1,478",210,543,361,935,8,21,1,2,—,—,352,911,13.4383,144.7729285
Northern Mariana Islands,"1,976","5,117",182,472,"1,793","4,644",6,16,5,13,—,—,"1,782","4,615",14.9367835,145.601021
U.S. Virgin Islands,733,"1,898",134,348,599,"1,550",18,46,16,40,—,—,565,"1,464",18.3267485,-64.9712501
